Account,Date,Payee,Notes,Category,Amount,Cleared
Current Checking Account,2024-04-01,,Paying rent,Rent,-250,Not cleared
Current Savings Account,2024-01-31,Current Checking Account,Saving money,,200,Cleared
Current Checking Account,2024-01-31,Current Savings Account,Saving money,,-200,Not cleared
Current Checking Account,2024-01-31,,Streaming services,Online Services,-15,Not cleared
Current Checking Account,2024-01-30,,Groceries,Groceries,-15,Not cleared
Current Checking Account,2024-01-26,,New pants,Clothes,-40,Not cleared
Current Checking Account,2024-01-26,,Groceries,Groceries,-25,Not cleared
Current Checking Account,2024-01-19,,Groceries,Groceries,-25,Not cleared
Current Checking Account,2024-01-18,,University book,Books,-30,Not cleared
Current Checking Account,2024-01-16,,Phone contract,Phone,-15,Not cleared
Current Checking Account,2024-01-13,,Cinema tickets,Entertainment:Music/Movies,-10,Not cleared
Current Checking Account,2024-01-12,,Groceries,Groceries,-25,Not cleared
Current Cash in Wallet,2024-01-06,,Couple of beers at a bar,Entertainment:Recreation,-25,Not cleared
Current Cash in Wallet,2024-01-06,Current Checking Account,Cash withdraw,,50,Not cleared
Current Checking Account,2024-01-06,Current Cash in Wallet,Cash withdraw,,-50,Not cleared
Current Checking Account,2024-01-05,,Groceries,Groceries,-25,Not cleared
Current Checking Account,2024-01-01,,Mobility Bonus,Other Income,100,Not cleared
Current Checking Account,2024-01-01,,Salary Payment,Salary,700,Not cleared
